"Year","Month","Day_of_Week","Num_of_Accidents"
2009,1,6,1404
2009,2,6,1032
2009,3,3,1387
2009,4,4,1426
2009,5,6,1707
2009,6,3,1579
2009,7,6,1573
2009,8,7,1244
2009,9,3,1541
2009,10,6,1693
2009,11,6,1553
2009,12,4,1456
2010,1,6,1107
2010,2,6,1141
2010,3,3,1364
2010,4,5,1413
2010,5,7,1262
2010,6,4,1550
2010,7,6,1528
2010,8,3,1401
2010,9,4,1607
2010,10,6,1590
2010,11,3,1522
2010,12,6,1048
2011,1,2,1119
2011,2,4,1119
2011,3,5,1379
2011,4,6,1281
2011,5,3,1425
2011,6,5,1407
2011,7,6,1574
2011,8,4,1229
2011,9,6,1529
2011,10,2,1354
2011,11,3,1501
2011,12,6,1598
